,Property ID,Neighbourhood or locality,Type of building,Construction year,Price,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Elevator,Basement,Building condition,Monthly charges,Cadastral income,Primary energy consumption,CO₂ emission,Energy class,Heating type
0,10579605,None,None,1928," 530,000",4,176  m² square meters,USA hyper equipped,None,None,Yes,None,None,None,362  m²  square meters,4,No,No,Yes,Good,None, 880,394  kWh/m²  kilowatt hour per square meters,69 kg CO₂/m²,E,Gas
1,10578260,Quartier Européen,None,1972," 340,000",2,70  m² square meters,USA hyper equipped,Yes,None,None,20  m²  square meters,None,None,None,2,No,Yes,Yes,Just renovated, 197," 1,175",647  kWh/m²  kilowatt hour per square meters,142 kg CO₂/m²,G,Gas
2,10576930,Bruxelles (19 communes),None,1952," 730,000",6,300  m² square meters,Hyper equipped,None,None,None,10  m²  square meters,None,320  m²  square meters,506  m²  square meters,2,No,Yes,None,To be done up,None," 2,992",644  kWh/m²  kilowatt hour per square meters,129 kg CO₂/m²,G,Gas
3,10572904,Liège environs,None,1850," 235,000",5,230  m² square meters,USA installed,No,None,None,None,None,339  m²  square meters,432  m²  square meters,3,No,No,Yes,Good,None, 593,403  kWh/m²  kilowatt hour per square meters,101 kg CO₂/m²,E,Fuel oil
4,10572508,Vlaamse Ardennen,None,1954," 419,000",5,202  m² square meters,Installed,No,None,None,20  m²  square meters,None,850  m²  square meters,1541  m²  square meters,4,No,No,None,Good,None," 1,303",289  kWh/m²  kilowatt hour per square meters,8912 kg CO₂/m²,C,Gas
5,10572922,None,None,1910," 750,000",4,306  m² square meters,Hyper equipped,None,None,None,28  m²  square meters,None,None,3113  m²  square meters,3,Yes,No,None,Good,None," 1,663",385  kWh/m²  kilowatt hour per square meters,34 kg CO₂/m²,D,Fuel oil
6,10579280,Knokke Centrum,None,2002," 675,000",2,100  m² square meters,USA hyper equipped,No,None,None,15  m²  square meters,None,None,None,2,No,Yes,Yes,To be done up,None,None,440  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
7,10571119,None,None,2009," 189,000",2,105  m² square meters,Semi equipped,None,None,None,15  m²  square meters,None,70  m²  square meters,None,None,None,Yes,Yes,Good,None, 644,230  kWh/m²  kilowatt hour per square meters,Not specified,C,Pellet
8,10579926,None,None,None," 169,000",3,209  m² square meters,None,None,None,None,None,None,150  m²  square meters,287  m²  square meters,2,None,None,Yes,To be done up,None, 587,358  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
9,10317756,None,None,None," 60,000",2,72  m² square meters,Installed,No,None,None,7  m²  square meters,None,None,None,4,None,None,None,None,None,None,331  kWh/m²  kilowatt hour per square meters,64 kg CO₂/m²,D,Gas
10,10317755,None,None,None," 70,000",2,86  m² square meters,Installed,No,None,None,18  m²  square meters,None,None,None,2,None,None,Yes,None,None, 572,510  kWh/m²  kilowatt hour per square meters,128 kg CO₂/m²,F,Fuel oil
