Property ID,Neighbourhood or locality,Type of building,Construction year,Price,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Elevator,Basement,Building condition,Cadastral income,Primary energy consumption,CO₂ emission,Energy class,Heating type
10579605,,,1928.0,"€ 530,000  530000 €",4.0,176  m² square meters,USA hyper equipped,,,Yes,,,,362  m²  square meters,4.0,No,No,Yes,Good,€ 880  880 €,394  kWh/m²  kilowatt hour per square meters,69 kg CO₂/m²,E,Gas
10578260,Quartier Européen,,1972.0,"€ 340,000  340000 €",2.0,70  m² square meters,USA hyper equipped,Yes,,,20  m²  square meters,,,,2.0,No,Yes,Yes,Just renovated,"€ 1,175  1175 €",647  kWh/m²  kilowatt hour per square meters,142 kg CO₂/m²,G,Gas
10576930,Bruxelles (19 communes),,1952.0,"€ 730,000  730000 €",6.0,300  m² square meters,Hyper equipped,,,,10  m²  square meters,,320  m²  square meters,506  m²  square meters,2.0,No,Yes,,To be done up,"€ 2,992  2992 €",644  kWh/m²  kilowatt hour per square meters,129 kg CO₂/m²,G,Gas
10572904,Liège environs,,1850.0,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",5.0,230  m² square meters,USA installed,No,,,,,339  m²  square meters,432  m²  square meters,3.0,No,No,Yes,Good,€ 593  593 €,403  kWh/m²  kilowatt hour per square meters,101 kg CO₂/m²,E,Fuel oil
10572508,Vlaamse Ardennen,,1954.0,"€ 419,000  419000 €",5.0,202  m² square meters,Installed,No,,,20  m²  square meters,,850  m²  square meters,1541  m²  square meters,4.0,No,No,,Good,"€ 1,303  1303 €",289  kWh/m²  kilowatt hour per square meters,8912 kg CO₂/m²,C,Gas
10572922,,,1910.0,"€ 750,000  750000 €",4.0,306  m² square meters,Hyper equipped,,,,28  m²  square meters,,,3113  m²  square meters,3.0,Yes,No,,Good,"€ 1,663  1663 €",385  kWh/m²  kilowatt hour per square meters,34 kg CO₂/m²,D,Fuel oil
10579280,Knokke Centrum,,2002.0,"€ 675,000  675000 €",2.0,100  m² square meters,USA hyper equipped,No,,,15  m²  square meters,,,,2.0,No,Yes,Yes,To be done up,,440  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
10571119,,,2009.0,"€ 189,000  189000 €",2.0,105  m² square meters,Semi equipped,,,,15  m²  square meters,,70  m²  square meters,,,,Yes,Yes,Good,€ 644  644 €,230  kWh/m²  kilowatt hour per square meters,Not specified,C,Pellet
10579926,,,,"€ 169,000  169000 €",3.0,209  m² square meters,,,,,,,150  m²  square meters,287  m²  square meters,2.0,,,Yes,To be done up,€ 587  587 €,358  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
10317756,,,,"€ 60,000  60000 €",2.0,72  m² square meters,Installed,No,,,7  m²  square meters,,,,4.0,,,,,,331  kWh/m²  kilowatt hour per square meters,64 kg CO₂/m²,D,Gas
10317755,,,,"€ 70,000  70000 €",2.0,86  m² square meters,Installed,No,,,18  m²  square meters,,,,2.0,,,Yes,,€ 572  572 €,510  kWh/m²  kilowatt hour per square meters,128 kg CO₂/m²,F,Fuel oil
10579918,,,1947.0,"€ 223,000  223000 €",2.0,110  m² square meters,,,,Yes,,,,,2.0,,,,Good,€ 702  702 €,256  kWh/m²  kilowatt hour per square meters,1000 kg CO₂/m²,C,Gas
10579917,,,2009.0,"€ 275,000  275000 €",3.0,139  m² square meters,Hyper equipped,,,,9  m²  square meters,,,,,,Yes,Yes,,€ 870  870 €,167  kWh/m²  kilowatt hour per square meters,31 kg CO₂/m²,B,
10579915,,,1965.0,"€ 370,000  370000 €",3.0,112  m² square meters,Installed,No,,,,,,,,No,Yes,,As new,€ 872  872 €,113  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10579907,,,2001.0,"€ 732,000  732000 €",4.0,468  m² square meters,,No,,,,,,1200  m²  square meters,4.0,Yes,No,,As new,"€ 2,025  2025 €",253  kWh/m²  kilowatt hour per square meters,63 kg CO₂/m²,C,Fuel oil
10579906,,,2003.0,"€ 795,000  795000 €",8.0,455  m² square meters,,No,,Yes,,,,9198  m²  square meters,4.0,Yes,No,,,"€ 1,897  1897 €",145  kWh/m²  kilowatt hour per square meters,35 kg CO₂/m²,B,Fuel oil
10579901,Liège,,,"€ 550,000  550000 €",4.0,189  m² square meters,Hyper equipped,,,Yes,,,2185  m²  square meters,2345  m²  square meters,4.0,,,,Good,"€ 1,554  1554 €",302  kWh/m²  kilowatt hour per square meters,75 kg CO₂/m²,D,Fuel oil
10579899,,,1957.0,"€ 309,000  309000 €",3.0,186  m² square meters,,No,,Yes,,,,2406  m²  square meters,3.0,,,Yes,To renovate,€ 927  927 €,409  kWh/m²  kilowatt hour per square meters,Not specified,E,Fuel oil
10579887,,,,"€ 185,000  185000 €",2.0,124  m² square meters,Installed,No,,,30  m²  square meters,,280  m²  square meters,380  m²  square meters,3.0,No,No,Yes,Good,€ 505  505 €,436  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
10579878,,,,"Make an offer starting from  € 148,000  Make an offer starting from  148000 €",2.0,95  m² square meters,Semi equipped,,,,,,,,2.0,,Yes,Yes,Good,,250  kWh/m²  kilowatt hour per square meters,63 kg CO₂/m²,C,Gas
10579877,,,,"Make an offer starting from  € 115,000  Make an offer starting from  115000 €",1.0,54  m² square meters,Not installed,,,,,,,,2.0,,Yes,Yes,To be done up,,325  kWh/m²  kilowatt hour per square meters,59 kg CO₂/m²,D,
10579869,,,1900.0,"€ 200,000  200000 €",1.0,67  m² square meters,Installed,No,,,,,35  m²  square meters,,2.0,,,,To renovate,€ 532  532 €,Not specified,Not specified,Not specified,Gas
10579861,Ans,,2022.0,"€ 299,000  299000 €",3.0,134  m² square meters,Not installed,,,,6  m²  square meters,,,,2.0,,,,,,Not specified,Not specified,Not specified,
